Pit Name,Address,Material,Price_Per_Ton,Latitude,Longitude
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson",Commercial Road Base,8.15,40.011948,-111.801505
Kilgore (Parley's Pit),Parleys Canyon (Approx),Commercial Road Base,10.25,40.715,-111.8
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City",Commercial Road Base,9.5,40.725145,-112.060586
Grey Cliffs Rock ,"648 UT-198, Santaquin",State Spec Road Base,9.0,39.986234,-111.76045
Maverick Rock Products,"491 US-6, Genola",State Spec Road Base,10.95,39.980469,-111.832961
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper",State Spec Road Base,12.05,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs",State Spec Road Base,10.75,40.261959,-111.868774
Staker Parson (Beck Street Pit),"1730 Beck St, SLC",State Spec Road Base,10.45,40.806128,-111.915737
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale",State Spec Road Base,9.3,40.474308,-111.978574
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi",State Spec Road Base,9.75,40.451429,-111.911819
Staker Parson (Keigley Pit),"12370 S West Mt Rd, Payson",State Spec Road Base,10.35,40.011948,-111.801505
Kilgore (Parley's Pit),Parleys Canyon (Approx),State Spec Road Base,10.25,40.715,-111.8
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City",State Spec Road Base,10.25,40.725145,-112.060586
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper",UDOT Spec Road Base,12.05,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs",UDOT Spec Road Base,10.75,40.261959,-111.868774
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City",UDOT Spec Road Base,10.5,40.725145,-112.060586
Geneva Rock (Hansen Pit),"15547 Minuteman Dr, Draper",Recycled Concrete Road Base,9.95,40.467977,-111.908433
Geneva Rock (Pelican Point Pit),"1565 N Redwood Road, Saratoga Springs",Recycled Concrete Road Base,9.95,40.261959,-111.868774
Staker Parson (Beck Street Pit),"1730 Beck St, SLC",Recycled Concrete Road Base,8.95,40.806128,-111.915737
Utah Sand and Gravel,"1264 Beck St, SLC",Recycled Concrete Road Base,9.7,40.797036,-111.906146
Lakeview Rock Products,"2380 Beck St, SLC",Bedding Sand,7.5,40.822108,-111.915022
Grey Cliffs Rock ,"648 UT-198, Santaquin",Bedding Sand,8.25,39.986234,-111.76045
Maverick Rock Products,"491 US-6, Genola",Bedding Sand,7.95,39.980469,-111.832961
Staker Parson (Beck Street Pit),"1730 Beck St, SLC",Bedding Sand,7.4,40.806128,-111.915737
Utah Sand and Gravel,"1264 Beck St, SLC",Bedding Sand,5.75,40.797036,-111.906146
Staker Parson (Beef Hollow Pit),"2550 Porter Rockwell Rd, Bluffdale",Bedding Sand,5.45,40.474308,-111.978574
Staker Parson (Point East Pit),"15589 Minuteman Dr, Draper",Bedding Sand,7.5,40.462556,-111.912076
Staker Parson (Lehi West Pit),"11700 N Frontage Rd, Lehi",Bedding Sand,5.65,40.451429,-111.911819
Kilgore (Parley's Pit),Parleys Canyon (Approx),Bedding Sand,11.85,40.715,-111.8
Kilgore (West Valley Pit),"7057 W 2100 S, Salt Lake City",Bedding Sand,6.60,40.725145,-112.060586
Geneva Rock (Black Rock Pit),"Magna, UT",A1b,8.05,40.724938,-112.207187
Geneva Rock (Black Rock Pit),"Magna, UT",UDOT Spec Road Base,10.7,40.724938,-112.207187
Geneva Rock (Black Rock Pit),"Magna, UT","2"" Gravel",17.5,40.724938,-112.207187
Geneva Rock (Black Rock Pit),"Magna, UT","1"" Gravel",19.4,40.724938,-112.207187
